AccountID,total_transactions,total_spend,avg_spend,max_spend,unique_locations,unique_devices,unique_merchants,LastTransactionDate,InactiveDays
AC00025,2,415.37,207.685,350.11,2,2,2,2023-12-08 17:05:35,23
AC00026,6,952.11,158.685,329.69,5,6,5,2023-10-30 17:24:55,62
AC00027,3,557.54,185.84666666666666,277.02,3,3,3,2023-11-20 16:29:14,41
AC00028,3,2170.17,723.39,1664.33,3,3,3,2023-09-25 17:11:19,97
AC00029,6,1942.1200000000001,323.68666666666667,1192.95,6,6,6,2023-12-04 18:30:00,27
AC00030,9,2969.7,329.96666666666664,520.86,9,9,9,2023-10-25 16:13:39,67
AC00032,9,3384.66,376.0733333333333,1020.73,8,9,9,2023-12-19 16:39:57,12
AC00033,6,900.99,150.165,397.01,6,6,6,2023-12-19 16:46:08,12
AC00034,4,1007.9000000000001,251.97500000000002,637.97,4,4,4,2023-10-23 17:17:18,69
AC00035,9,2151.17,239.0188888888889,813.78,8,9,9,2023-12-07 16:11:01,24
AC00036,5,1608.4,321.68,740.25,5,5,5,2023-07-19 17:03:58,165
AC00037,2,253.25,126.625,173.45,2,2,2,2023-12-25 16:25:43,6
AC00038,1,301.73,301.73,301.73,1,1,1,2023-06-27 16:40:58,187
AC00039,7,2120.76,302.96571428571434,737.46,7,7,7,2023-11-17 17:59:11,44
AC00040,5,2925.57,585.114,1237.56,5,5,4,2023-12-18 17:22:16,13
AC00041,7,1149.68,164.24,371.69,7,7,7,2023-12-22 16:27:49,9
AC00042,5,1054.04,210.808,336.05,5,5,5,2023-09-13 18:11:22,109
AC00043,4,2014.75,503.6875,729.38,4,4,4,2023-11-14 17:23:43,47
AC00044,1,487.32,487.32,487.32,1,1,1,2023-10-19 18:11:23,73
AC00045,5,1845.12,369.024,1074.29,5,5,4,2023-09-11 17:51:17,111
AC00046,3,1069.95,356.65000000000003,942.7,3,3,3,2023-11-06 16:24:45,55
AC00047,4,1612.2,403.05,750.95,3,4,4,2024-01-01 17:21:56,-1
AC00048,3,1602.27,534.09,1283.97,3,3,3,2023-12-25 17:13:46,6
AC00049,2,1113.77,556.885,609.14,2,2,2,2023-11-23 16:09:39,38
AC00050,5,1019.56,203.91199999999998,334.07,4,5,5,2023-11-09 16:11:59,52
AC00051,4,949.2,237.3,312.47,4,4,4,2023-07-20 16:05:11,164
AC00052,3,424.46999999999997,141.48999999999998,409.59,3,3,3,2023-10-09 16:50:41,83
AC00053,7,703.3100000000001,100.47285714285715,212.74,5,7,7,2023-12-14 18:53:34,17
AC00054,9,1751.77,194.64111111111112,738.94,8,9,9,2023-11-29 17:38:53,32
AC00055,5,941.1099999999999,188.22199999999998,386.68,5,5,4,2023-11-10 16:10:34,51
AC00056,6,498.66,83.11,168.34,6,6,5,2023-09-25 17:29:01,97
AC00057,5,1127.62,225.52399999999997,598.66,5,5,5,2023-08-29 16:19:14,124
AC00058,7,1719.58,245.6542857142857,583.92,7,7,7,2023-12-28 16:46:46,3
AC00059,4,592.97,148.2425,344.97,3,4,3,2023-09-25 16:41:04,97
AC00060,4,1552.72,388.18,641.06,4,4,4,2023-12-11 16:09:08,20
AC00061,5,957.06,191.41199999999998,391.08,5,5,5,2023-11-20 16:06:10,41
AC00062,3,689.82,229.94000000000003,476.63,3,3,3,2023-08-14 17:43:17,139
AC00063,10,3192.72,319.272,873.65,8,10,10,2023-11-20 16:27:31,41
AC00064,4,1411.05,352.7625,606.27,4,4,4,2023-09-20 17:44:37,102
AC00065,5,1100.17,220.03400000000002,390.09,5,5,5,2023-12-28 16:30:32,3
AC00066,4,863.0699999999999,215.76749999999998,347.25,4,4,4,2023-10-23 16:03:49,69
AC00067,7,3224.38,460.6257142857143,1309.79,6,7,7,2023-11-14 16:23:09,47
AC00068,4,2641.99,660.4975,1045.22,4,4,4,2023-11-22 16:13:39,39
AC00069,7,1617.58,231.08285714285714,603.54,6,7,7,2023-12-25 17:27:57,6
AC00070,8,1891.8700000000001,236.48375000000001,890.24,7,8,8,2023-11-13 17:34:15,48
AC00071,8,4050.12,506.265,1647.74,8,8,8,2023-12-25 17:41:30,6
AC00072,4,1289.02,322.255,645.04,4,4,4,2023-12-22 17:08:55,9
AC00073,5,1834.82,366.964,953.17,5,5,5,2023-12-05 16:32:49,26
AC00074,3,397.1,132.36666666666667,278.23,3,3,3,2023-09-13 16:41:19,109
AC00075,5,1091.8700000000001,218.37400000000002,647.85,5,5,5,2023-12-04 16:31:42,27
AC00076,7,1660.0400000000002,237.14857142857144,515.94,7,7,7,2023-12-22 16:42:33,9
AC00077,6,1756.3200000000002,292.72,651.82,6,6,6,2023-12-15 16:48:08,16
AC00078,6,2937.12,489.52,1156.18,6,6,6,2023-11-30 17:48:36,31
AC00079,5,515.02,103.00399999999999,301.39,4,5,5,2023-08-25 16:30:02,128
AC00080,6,2238.37,373.06166666666667,991.82,5,6,6,2023-12-04 16:16:19,27
AC00081,3,607.37,202.45666666666668,315.39,3,3,3,2023-08-14 16:20:49,139
AC00082,3,722.08,240.69333333333336,436.77,3,3,3,2023-09-28 16:14:49,94
AC00083,6,2753.38,458.8966666666667,1531.31,5,6,6,2024-01-01 16:07:05,-1
AC00084,2,502.03,251.015,498.59,2,2,2,2023-10-23 18:41:35,69
AC00085,6,1695.71,282.61833333333334,702.87,5,6,5,2023-09-18 17:31:23,104
AC00086,7,3190.07,455.7242857142857,1137.63,6,7,7,2023-12-20 16:17:16,11
AC00087,9,1842.47,204.7188888888889,540.4,8,9,9,2023-12-29 17:55:30,2
AC00088,2,513.54,256.77,295.93,2,2,2,2023-02-28 17:34:08,306
AC00089,5,1201.26,240.252,557.78,5,5,5,2023-09-25 16:37:04,97
AC00090,9,2579.9700000000003,286.66333333333336,839.33,9,9,9,2023-11-09 17:51:35,52
AC00091,3,1077.01,359.00333333333333,927.16,3,3,3,2023-10-13 16:05:10,79
AC00092,8,2317.6,289.7,793.13,8,8,8,2023-12-18 18:41:26,13
AC00093,9,3165.4300000000003,351.7144444444445,1021.38,8,9,9,2023-12-14 16:15:28,17
AC00094,4,224.01999999999998,56.004999999999995,120.17,4,4,4,2023-08-08 17:07:42,145
AC00095,8,3181.87,397.73375,1432.02,8,8,8,2023-10-20 17:48:44,72
AC00096,3,882.3,294.09999999999997,535.4,3,3,3,2023-06-01 16:18:49,213
AC00097,3,261.72,87.24000000000001,185.07,3,3,3,2023-12-19 16:57:40,12
AC00098,5,3212.57,642.514,1340.19,5,5,5,2023-12-11 17:26:22,20
AC00099,4,2510.98,627.745,1041.88,4,4,4,2023-09-18 17:07:08,104
AC00100,3,447.33000000000004,149.11,224.22,2,3,3,2023-07-17 16:32:45,167
AC00101,3,299.9,99.96666666666665,166.55,3,3,3,2023-11-21 17:25:30,40
AC00102,5,826.62,165.324,316.37,5,5,5,2023-10-16 16:51:25,76
AC00103,5,2145.0,429.0,795.96,5,5,5,2023-12-25 17:01:44,6
AC00104,1,275.2,275.2,275.2,1,1,1,2023-08-24 17:13:38,129
AC00105,3,381.82,127.27333333333333,136.82,3,3,3,2023-08-25 18:24:06,128
AC00106,6,2064.18,344.03,716.93,6,6,6,2023-12-25 17:31:53,6
AC00107,5,2980.3199999999997,596.064,1830.0,5,5,5,2023-09-19 16:55:00,103
AC00108,6,1920.36,320.06,849.76,6,6,6,2023-11-28 16:38:08,33
AC00109,2,418.91999999999996,209.45999999999998,389.7,2,2,2,2023-03-10 16:40:00,296
AC00110,8,2507.77,313.47125,1250.94,8,8,8,2023-11-17 16:39:20,44
AC00111,7,3071.73,438.81857142857143,1493.0,6,6,7,2023-12-11 18:43:00,20
AC00112,1,554.15,554.15,554.15,1,1,1,2023-04-18 17:17:37,257
AC00113,4,1340.72,335.18,643.02,3,4,4,2023-10-02 17:47:19,90
AC00114,7,2221.26,317.3228571428572,1049.92,7,7,7,2023-12-13 17:02:21,18
AC00115,3,752.09,250.6966666666667,581.65,3,3,3,2023-06-07 16:45:34,207
AC00116,6,1180.23,196.705,408.62,6,6,6,2023-11-27 17:29:25,34
AC00117,1,55.32,55.32,55.32,1,1,1,2023-04-12 16:03:37,263
AC00118,4,1250.6,312.65,692.55,4,4,3,2023-04-14 16:00:51,261
AC00119,6,1639.27,273.21166666666664,761.73,5,6,6,2023-12-04 16:10:04,27
AC00120,6,1744.58,290.7633333333333,730.1,6,6,6,2023-11-14 18:49:52,47
AC00121,2,294.73,147.365,213.76,2,2,2,2023-03-01 17:52:14,305
AC00122,6,1556.39,259.39833333333337,613.7,6,6,6,2023-12-26 16:07:28,5
AC00123,4,919.0600000000001,229.76500000000001,578.49,4,4,4,2023-11-27 17:51:15,34
AC00124,4,1190.82,297.705,819.48,4,4,4,2023-12-29 18:07:04,2
AC00125,6,1005.6899999999999,167.61499999999998,476.03,6,6,6,2023-12-11 16:52:47,20
AC00126,7,1519.86,217.12285714285713,643.03,7,7,6,2023-08-07 16:54:58,146
AC00127,2,545.4499999999999,272.72499999999997,539.81,2,2,1,2023-03-08 16:57:30,298
AC00128,7,3224.8900000000003,460.6985714285715,1397.59,7,7,7,2023-11-13 17:28:12,48
AC00129,4,1095.42,273.855,586.85,4,4,4,2023-10-03 16:22:49,89
AC00130,9,2862.83,318.09222222222223,720.13,9,9,9,2023-09-05 16:52:06,117
AC00131,9,2829.42,314.38,879.25,8,9,9,2023-11-07 17:44:12,54
AC00132,4,385.93,96.4825,220.82,4,4,4,2023-12-29 16:30:53,2
AC00133,7,1398.29,199.75571428571428,447.95,7,7,7,2023-11-23 16:15:59,38
AC00134,1,49.59,49.59,49.59,1,1,1,2023-08-25 16:45:20,128
AC00135,2,145.89,72.945,106.23,2,2,2,2023-05-18 16:16:53,227
AC00136,8,3880.53,485.06625,886.19,8,8,8,2023-11-20 16:31:36,41
AC00137,3,377.17,125.72333333333334,333.67,3,3,3,2023-12-12 16:17:27,19
AC00138,2,416.4,208.2,355.0,2,2,2,2023-08-29 16:50:17,124
AC00139,8,1421.76,177.72,510.7,6,8,7,2023-12-18 16:06:14,13
AC00140,7,1052.82,150.40285714285713,241.45,7,7,7,2023-11-13 16:58:19,48
AC00141,5,1456.17,291.23400000000004,780.59,5,5,5,2023-10-17 16:58:59,75
AC00142,2,529.7,264.85,504.12,2,2,2,2023-11-16 16:33:22,45
AC00143,5,1378.78,275.756,447.83,5,5,5,2023-08-18 17:02:15,135
AC00144,8,1842.97,230.37125,518.85,8,8,8,2023-12-04 17:53:57,27
AC00145,5,1402.7800000000002,280.55600000000004,515.57,5,5,5,2023-09-12 16:50:21,110
AC00146,2,1171.78,585.89,1135.8,2,2,1,2023-09-06 16:03:15,116
AC00147,3,388.62,129.54,270.72,3,3,3,2023-11-20 17:17:05,41
AC00148,5,2868.79,573.758,1416.69,5,5,5,2023-08-21 16:07:13,132
AC00149,6,2218.1,369.68333333333334,1092.73,6,6,6,2023-11-09 18:45:10,52
AC00150,7,2030.56,290.08,992.17,7,6,7,2023-07-04 16:25:35,180
AC00151,4,1156.83,289.2075,382.07,4,4,4,2023-06-05 17:48:33,209
AC00152,4,969.87,242.4675,613.21,4,4,4,2024-01-01 16:25:13,-1
AC00153,7,2451.89,350.27,1116.48,7,7,6,2023-09-18 17:44:50,104
AC00154,5,869.43,173.886,371.86,5,5,5,2023-11-30 17:53:48,31
AC00155,6,1757.2,292.8666666666667,607.28,6,6,6,2024-01-01 16:12:32,-1
AC00156,5,2155.04,431.008,1271.9,4,5,5,2023-12-18 16:47:17,13
AC00157,5,1249.0900000000001,249.81800000000004,481.53,5,5,5,2023-12-04 17:25:18,27
AC00158,7,2354.62,336.3742857142857,775.6,7,7,6,2023-12-22 17:31:59,9
AC00159,5,1024.1399999999999,204.82799999999997,425.34,5,5,5,2023-08-10 16:39:44,143
AC00160,2,1026.89,513.445,757.1,2,2,2,2023-10-03 16:15:25,89
AC00161,4,1965.8999999999999,491.47499999999997,1182.86,4,4,4,2023-12-11 16:06:51,20
AC00162,2,89.75,44.875,55.99,2,2,2,2023-11-13 16:16:24,48
AC00163,2,615.91,307.955,388.77,2,2,2,2023-12-11 16:57:08,20
AC00164,6,3039.38,506.56333333333333,738.68,6,6,6,2023-07-12 16:54:53,172
AC00165,6,1761.16,293.5266666666667,820.62,6,6,6,2023-11-14 16:09:22,47
AC00166,6,1407.46,234.57666666666668,446.39,5,6,6,2023-12-12 17:41:53,19
AC00167,5,1581.57,316.31399999999996,490.76,5,5,4,2023-09-27 16:39:38,95
AC00168,1,77.83,77.83,77.83,1,1,1,2023-12-27 16:40:01,4
AC00169,2,175.69,87.845,136.48,2,2,2,2023-08-14 16:46:26,139
AC00170,7,1731.2800000000002,247.32571428571433,1192.2,6,7,6,2023-12-21 16:21:27,10
AC00171,5,889.9300000000001,177.98600000000002,577.73,5,5,4,2023-12-21 17:56:04,10
AC00172,5,2904.99,580.9979999999999,1143.67,3,4,5,2023-10-30 16:18:48,62
AC00173,4,1795.2,448.8,726.61,4,4,4,2023-11-03 16:31:22,58
AC00174,4,700.68,175.17,353.59,3,4,4,2023-10-16 16:29:39,76
AC00175,7,2136.54,305.21999999999997,567.71,6,7,6,2023-11-27 16:33:20,34
AC00176,8,2357.68,294.71,841.28,8,8,8,2023-12-25 18:29:05,6
AC00177,9,2953.1,328.1222222222222,736.73,9,9,9,2023-12-05 18:33:02,26
AC00178,5,879.11,175.822,446.1,4,5,5,2023-10-19 17:34:53,73
AC00179,6,3819.73,636.6216666666667,1831.02,6,6,6,2023-10-27 18:28:05,65
AC00180,1,108.96,108.96,108.96,1,1,1,2023-10-10 18:12:07,82
AC00181,5,1447.3,289.46,800.55,5,5,5,2023-12-04 18:27:11,27
AC00182,8,3553.6099999999997,444.20124999999996,870.05,7,8,8,2023-10-16 17:47:41,76
AC00183,6,1635.97,272.6616666666667,637.34,6,6,6,2023-09-18 16:19:03,104
AC00184,4,1021.61,255.4025,484.24,3,4,3,2023-10-31 17:06:47,61
AC00185,6,1454.4099999999999,242.40166666666664,868.05,5,6,6,2023-12-18 17:09:29,13
AC00186,2,456.83000000000004,228.41500000000002,257.6,2,2,2,2023-12-18 16:30:46,13
AC00187,5,953.1800000000001,190.63600000000002,343.86,5,5,5,2023-10-02 17:44:05,90
AC00188,5,554.78,110.95599999999999,220.41,5,5,5,2023-09-25 16:22:10,97
AC00189,5,1510.07,302.014,555.71,5,5,5,2023-10-09 18:28:04,83
AC00190,5,1104.1399999999999,220.82799999999997,602.8,5,5,4,2023-08-30 17:54:55,123
AC00191,3,511.29999999999995,170.4333333333333,372.08,3,3,3,2023-12-28 18:53:29,3
AC00192,4,2250.17,562.5425,788.84,4,4,4,2023-09-07 16:28:19,115
AC00193,2,531.48,265.74,435.98,2,2,2,2023-10-12 16:29:09,80
AC00194,5,944.42,188.884,361.38,5,5,4,2023-09-08 16:28:54,114
AC00195,2,978.6600000000001,489.33000000000004,584.98,2,2,2,2023-09-18 16:40:55,104
AC00196,6,2027.38,337.8966666666667,874.72,5,6,6,2023-12-20 18:58:27,11
AC00197,4,602.33,150.5825,318.92,4,4,4,2023-11-06 16:31:43,55
AC00198,2,1067.8200000000002,533.9100000000001,561.58,2,2,2,2023-06-23 17:38:26,191
AC00199,1,7.08,7.08,7.08,1,1,1,2023-02-15 16:36:48,319
AC00200,7,1547.47,221.06714285714287,697.32,5,7,7,2023-10-12 16:02:13,80
AC00201,5,1035.32,207.064,384.1,5,5,5,2023-11-27 17:04:28,34
AC00202,12,3722.12,310.1766666666667,649.28,11,12,12,2023-12-22 16:25:16,9
AC00203,6,2741.2799999999997,456.87999999999994,1001.83,6,6,6,2023-12-15 16:04:20,16
AC00204,7,2658.75,379.82142857142856,752.69,7,7,7,2024-01-01 16:30:58,-1
AC00205,4,1658.0099999999998,414.50249999999994,1294.81,4,4,4,2023-12-12 16:57:29,19
AC00206,2,510.91,255.455,436.8,2,2,2,2023-09-08 16:09:45,114
AC00207,2,258.82,129.41,220.68,2,2,2,2023-12-28 16:51:20,3
AC00208,4,2470.8399999999997,617.7099999999999,1241.05,4,4,4,2023-12-29 17:17:48,2
AC00209,5,1377.83,275.566,428.61,5,5,5,2023-12-01 17:45:19,30
AC00210,4,1043.15,260.7875,343.88,4,4,4,2023-12-11 16:37:20,20
AC00211,4,1989.56,497.39,917.81,4,4,4,2023-08-30 18:38:56,123
AC00212,3,936.99,312.33,608.79,3,3,3,2023-12-25 16:11:46,6
AC00213,6,1576.72,262.7866666666667,777.92,6,6,6,2023-12-04 17:06:43,27
AC00214,2,215.44,107.72,114.1,1,2,2,2023-05-22 17:45:02,223
AC00215,5,961.87,192.374,588.54,5,5,5,2023-12-25 17:41:33,6
AC00216,5,1347.03,269.406,624.0,5,5,5,2023-10-23 16:35:48,69
AC00217,6,1395.58,232.59666666666666,1074.95,6,6,6,2023-12-04 16:27:40,27
AC00218,7,1823.24,260.46285714285716,494.96,7,7,7,2023-11-03 18:33:50,58
AC00219,10,1428.99,142.899,408.46,9,10,9,2023-12-27 17:18:17,4
AC00220,6,2551.05,425.175,1360.01,5,6,6,2023-11-06 16:34:10,55
AC00221,1,170.24,170.24,170.24,1,1,1,2023-06-05 16:24:12,209
AC00222,4,1645.99,411.4975,918.95,4,4,4,2023-10-09 16:17:07,83
AC00223,2,822.4,411.2,810.36,2,2,2,2023-11-15 16:08:52,46
AC00224,2,480.7,240.35,302.76,2,2,2,2023-11-16 17:14:01,45
AC00225,11,2926.3,266.02727272727276,615.16,10,11,11,2023-11-13 16:11:52,48
AC00227,5,1642.8799999999999,328.57599999999996,997.37,5,5,5,2023-12-22 18:24:01,9
AC00228,8,2509.8999999999996,313.73749999999995,1079.11,8,8,8,2023-12-21 18:44:40,10
AC00229,5,1103.31,220.66199999999998,507.25,5,5,5,2023-12-25 17:18:58,6
AC00230,3,1356.75,452.25,697.82,3,3,3,2023-11-27 16:10:37,34
AC00231,5,1587.27,317.454,776.21,4,5,5,2023-12-18 17:53:03,13
AC00232,5,1310.56,262.11199999999997,703.89,5,5,5,2023-12-25 17:53:56,6
AC00233,6,814.72,135.78666666666666,445.79,6,6,6,2023-11-27 17:01:48,34
AC00235,7,1353.3000000000002,193.32857142857145,545.87,7,7,6,2023-11-30 16:31:03,31
AC00236,6,2072.3999999999996,345.3999999999999,922.55,6,6,5,2023-12-05 17:57:39,26
AC00237,5,1829.65,365.93,885.33,5,4,5,2023-10-24 17:09:41,68
AC00238,1,335.68,335.68,335.68,1,1,1,2023-11-06 17:20:40,55
AC00239,5,1036.1399999999999,207.22799999999998,302.63,5,5,5,2023-12-28 17:31:03,3
AC00240,2,1501.3200000000002,750.6600000000001,1151.18,2,2,2,2023-08-25 17:26:27,128
AC00241,9,1742.71,193.63444444444445,440.43,8,8,8,2024-01-01 17:16:23,-1
AC00242,9,1309.69,145.5211111111111,411.72,7,9,9,2023-11-20 16:29:48,41
AC00243,4,729.82,182.455,388.98,4,4,4,2023-08-21 17:10:10,132
AC00244,5,1826.25,365.25,737.1,5,5,5,2023-10-12 17:10:20,80
AC00245,6,1061.5,176.91666666666666,331.22,6,6,5,2023-12-15 16:16:30,16
AC00246,5,643.6400000000001,128.728,290.86,5,5,5,2023-12-22 17:49:57,9
AC00247,7,1156.44,165.2057142857143,414.77,6,7,6,2024-01-01 17:37:04,-1
AC00248,7,2180.5699999999997,311.50999999999993,746.78,7,7,7,2023-12-01 17:45:05,30
AC00249,5,602.1800000000001,120.436,304.93,5,5,5,2023-12-18 18:34:33,13
AC00250,2,993.23,496.615,840.16,2,2,2,2023-04-03 18:37:57,272
AC00251,4,2770.84,692.71,1026.46,3,4,4,2023-12-25 17:05:00,6
AC00252,2,1501.57,750.785,1169.59,2,2,2,2023-12-25 17:12:21,6
AC00253,6,3093.84,515.64,842.01,6,6,6,2023-11-29 17:43:51,32
AC00254,6,1203.99,200.665,508.16,6,6,6,2023-11-23 16:59:11,38
AC00255,3,1079.9,359.9666666666667,588.36,3,3,3,2023-11-06 16:32:58,55
AC00256,3,1258.39,419.46333333333337,584.88,3,3,3,2023-12-19 17:19:47,12
AC00257,11,3410.02,310.0018181818182,963.77,11,11,11,2023-12-06 17:10:35,25
AC00258,7,1599.6,228.5142857142857,630.36,7,7,6,2023-11-28 16:09:34,33
AC00259,3,612.27,204.09,373.99,3,3,3,2023-10-23 16:27:20,69
AC00260,4,521.0,130.25,249.34,4,4,4,2023-11-24 17:52:34,37
AC00261,8,1161.03,145.12875,508.73,7,8,8,2023-07-14 16:22:54,170
AC00262,5,2352.36,470.47200000000004,1096.7,5,5,5,2023-10-30 16:49:25,62
AC00263,5,1550.8400000000001,310.168,675.37,4,5,5,2023-12-29 16:45:06,2
AC00264,6,2647.53,441.25500000000005,781.76,6,6,6,2023-11-20 16:39:15,41
AC00265,9,3953.6,439.2888888888889,1212.51,9,9,8,2023-12-04 16:14:07,27
AC00266,4,614.13,153.5325,452.8,4,4,4,2023-12-01 16:33:43,30
AC00267,10,2003.11,200.31099999999998,796.3,10,9,9,2023-12-06 17:34:01,25
AC00268,4,1847.96,461.99,1454.52,4,4,4,2023-09-22 16:13:06,100
AC00269,3,459.61,153.20333333333335,177.05,3,3,3,2023-11-24 16:30:21,37
AC00270,2,672.29,336.145,465.45,2,2,2,2023-12-12 16:23:31,19
AC00271,5,711.53,142.30599999999998,346.76,4,5,5,2023-12-29 16:32:37,2
AC00272,8,2341.84,292.73,758.77,6,8,8,2023-12-18 16:33:07,13
AC00273,4,2390.7,597.675,1431.33,4,4,4,2023-12-04 16:27:11,27
AC00274,5,1330.3600000000001,266.072,775.23,5,5,5,2023-11-08 17:24:54,53
AC00275,9,1959.8000000000002,217.7555555555556,547.98,7,9,8,2023-11-06 17:23:43,55
AC00276,5,1471.1399999999999,294.22799999999995,642.53,5,5,5,2023-09-04 17:46:40,118
AC00277,3,1325.31,441.77,736.32,3,3,3,2023-09-12 18:46:45,110
AC00278,3,838.03,279.3433333333333,425.18,3,3,3,2023-12-25 17:31:16,6
AC00279,9,2123.0,235.88888888888889,856.9,9,9,9,2023-09-01 18:05:37,121
AC00280,5,1738.31,347.662,672.74,4,5,5,2023-12-06 17:27:14,25
AC00281,4,1152.11,288.0275,501.15,4,4,3,2023-11-09 16:06:17,52
AC00282,6,1785.78,297.63,959.48,6,5,5,2023-12-13 16:01:38,18
AC00283,1,77.9,77.9,77.9,1,1,1,2023-12-25 17:42:00,6
AC00284,8,3533.35,441.66875,1036.21,7,8,7,2023-11-15 18:04:22,46
AC00285,7,2836.57,405.2242857142857,1221.65,7,7,7,2023-11-03 16:50:20,58
AC00286,6,544.04,90.67333333333333,233.24,6,6,4,2023-10-10 17:24:33,82
AC00287,2,641.77,320.885,568.76,2,2,2,2023-10-18 18:26:25,74
AC00288,3,1188.25,396.0833333333333,881.32,2,3,3,2023-10-26 17:51:32,66
AC00289,3,1039.22,346.4066666666667,651.55,3,3,3,2023-08-10 16:23:08,143
AC00290,4,1890.8600000000001,472.71500000000003,1413.24,3,4,4,2023-12-14 16:09:42,17
AC00291,7,2828.13,404.0185714285714,1152.58,7,7,7,2023-09-20 17:57:15,102
AC00292,7,1954.23,279.17571428571426,712.75,7,7,7,2023-12-25 18:16:39,6
AC00293,4,311.78,77.945,131.46,4,4,4,2023-12-13 17:25:54,18
AC00294,4,1265.9299999999998,316.48249999999996,344.27,4,4,4,2023-09-19 17:23:14,103
AC00295,6,1499.41,249.90166666666667,451.35,6,6,6,2023-11-29 18:03:46,32
AC00296,4,1556.3899999999999,389.09749999999997,626.9,4,4,4,2023-12-08 16:45:12,23
AC00297,10,2733.73,273.373,856.21,10,10,9,2023-08-21 18:36:41,132
AC00298,7,920.37,131.48142857142858,260.88,7,7,7,2023-11-24 17:35:47,37
AC00299,4,482.93,120.7325,217.5,4,4,3,2023-10-23 18:54:48,69
AC00300,5,856.51,171.302,415.88,4,5,5,2023-11-24 17:29:06,37
AC00301,6,2381.6,396.93333333333334,845.14,5,6,6,2023-12-19 17:11:31,12
AC00302,4,1906.67,476.6675,865.17,4,4,4,2023-12-07 17:13:16,24
AC00303,6,2989.45,498.2416666666666,1512.99,6,6,6,2023-11-28 16:17:46,33
AC00304,11,3651.8,331.9818181818182,1154.79,9,11,11,2023-12-20 17:13:50,11
AC00305,6,1382.87,230.47833333333332,637.48,5,6,6,2023-11-01 17:44:46,60
AC00306,6,1319.18,219.86333333333334,468.32,6,6,6,2023-12-08 17:24:44,23
AC00307,3,613.78,204.59333333333333,312.88,3,3,3,2023-11-10 16:06:27,51
AC00308,2,484.46000000000004,242.23000000000002,330.91,2,2,2,2023-11-08 17:53:52,53
AC00309,1,52.04,52.04,52.04,1,1,1,2023-07-27 16:28:26,157
AC00310,7,3079.8399999999997,439.97714285714284,832.3,7,7,7,2023-10-30 17:17:51,62
AC00311,6,1747.69,291.2816666666667,629.82,6,6,6,2023-10-12 18:11:27,80
AC00312,4,1958.92,489.73,1510.71,4,4,4,2023-08-14 16:09:21,139
AC00313,3,743.6999999999999,247.89999999999998,660.02,3,3,3,2023-10-12 16:57:36,80
AC00314,4,943.04,235.76,486.59,4,4,4,2023-12-19 16:55:17,12
AC00315,5,1008.0600000000001,201.61200000000002,459.25,5,5,5,2023-09-20 16:30:06,102
AC00316,6,3437.56,572.9266666666666,1392.54,6,6,6,2023-11-30 16:51:46,31
AC00317,7,3032.5499999999997,433.22142857142853,864.72,5,7,7,2023-10-30 16:52:49,62
AC00318,5,2014.68,402.93600000000004,946.94,4,5,5,2023-12-11 17:19:07,20
AC00319,5,1668.43,333.68600000000004,542.75,5,5,5,2023-12-07 18:28:50,24
